duyan,6520,4.0
duyan,8751,5.0
duyan,10180,2.0
duyan,10187,4.0
duyan,10421,2.0
duyan,10427,1.0
duyan,10472,3.0
duyan,11179,5.0
duyan,11541,4.0
duyan,11574,5.0
duyan,11575,2.0
duyan,11646,5.0
duyan,12345,5.0
duyan,14182,1.0
duyan,22155,4.0
Hansr0914,9589,3.0
Hansr0914,11208,4.0
Hansr0914,11320,1.0
Hansr0914,11336,4.0
Hansr0914,11399,1.0
Hansr0914,11541,4.0
Hansr0914,11574,2.0
Hansr0914,11578,3.0
Hansr0914,11596,4.0
Hansr0914,11603,2.0
Hansr0914,11760,3.0
Hansr0914,12149,3.0
Hansr0914,12222,4.0
Hansr0914,12241,1.0
Hansr0914,12265,1.0
Hansr0914,12524,5.0
Hansr0914,12915,3.0
Hansr0914,13547,5.0
dong,508,1.0
dong,571,4.0
dong,855,4.0
dong,867,5.0
dong,5222,1.0
dong,6925,2.0
dong,7116,4.0
dong,9609,4.0
dong,10421,5.0
dong,11232,5.0
dong,11335,2.0
dong,11587,4.0
dong,12205,5.0
dong,12228,4.0
dong,13607,4.0
dong,14182,2.0
puyue,5683,5.0
puyue,6521,5.0
puyue,8735,5.0
puyue,10188,1.0
puyue,11186,1.0
puyue,11335,1.0
puyue,11399,3.0
puyue,11541,1.0
puyue,11593,3.0
puyue,12207,4.0
puyue,12267,4.0
puyue,12915,3.0
puyue,13175,1.0
puyue,14185,4.0
puyue,22156,4.0
zhongyr,10626,2.0
zhongyr,11232,3.0
zhongyr,11274,3.0
zhongyr,11541,5.0
zhongyr,11575,4.0
zhongyr,11644,4.0
zhongyr,12241,3.0
zhongyr,12262,3.0
zhongyr,12305,1.0
zhongyr,12344,1.0
ono,6920,3.0
ono,9589,4.0
ono,10172,1.0
ono,10180,4.0
ono,10421,5.0
ono,10427,1.0
ono,11159,1.0
ono,11274,1.0
ono,11320,1.0
ono,11399,4.0
ono,11578,5.0
ono,11817,4.0
ono,11832,5.0
ono,12316,4.0
ono,12524,5.0
ono,12527,4.0
zhangjiayu,766,3.0
zhangjiayu,5775,4.0
zhangjiayu,6726,3.0
zhangjiayu,9609,4.0
zhangjiayu,10187,4.0
zhangjiayu,10310,1.0
zhangjiayu,11745,3.0
zhangjiayu,12262,2.0
zhangjiayu,13930,2.0
zhangjiayu,22156,4.0
Gohansama,248,5.0
Gohansama,5222,4.0
Gohansama,8382,5.0
Gohansama,9609,5.0
Gohansama,10479,1.0
Gohansama,10495,4.0
Gohansama,11274,1.0
Gohansama,11335,1.0
Gohansama,11541,4.0
Gohansama,11636,1.0
Gohansama,11752,4.0
Gohansama,11754,1.0
Gohansama,11760,5.0
Gohansama,12257,1.0
Gohansama,12316,5.0
Gohansama,12324,5.0
Gohansama,13584,5.0
Gohansama,14182,1.0
renbeini,10050,4.0
renbeini,10172,1.0
renbeini,10180,1.0
renbeini,10187,1.0
renbeini,10188,4.0
renbeini,10421,4.0
renbeini,10422,1.0
renbeini,10427,1.0
renbeini,10482,4.0
renbeini,11232,5.0
renbeini,11320,1.0
renbeini,11575,5.0
renbeini,11584,5.0
renbeini,11587,4.0
renbeini,11593,3.0
renbeini,11744,4.0
renbeini,11832,5.0
renbeini,13552,4.0
renbeini,19598,4.0
tangc,867,4.0
tangc,5899,4.0
tangc,10050,4.0
tangc,11232,4.0
tangc,11541,4.0
tangc,12257,2.0
tangc,13595,5.0
tangc,14182,2.0
tangc,19543,1.0
minajun,6521,4.0
minajun,7499,4.0
minajun,10427,1.0
minajun,11208,2.0
minajun,11320,2.0
minajun,11649,3.0
minajun,11844,4.0
minajun,12146,4.0
minajun,12257,2.0
minajun,12314,4.0
minajun,12527,3.0
minajun,13584,4.0
minajun,17080,1.0
